Case Number,Case,Year,Offence,Outcome
56,Case 56 - APPEAL,2001/02,Forgery of Documents,Grade Assignment of 0 for course
56,Case 56 - APPEAL,2001/02,Forgery of Documents,Notation on transcript
56,Case 56 - APPEAL,2001/02,Forgery of Documents,Suspension
56,Case 56 - APPEAL,2001/02,Impersonation,Grade Assignment of 0 for course
56,Case 56 - APPEAL,2001/02,Impersonation,Notation on transcript
56,Case 56 - APPEAL,2001/02,Impersonation,Suspension
56,Case 56,2000/01,Impersonation,Grade Assignment of 0 for course
56,Case 56,2000/01,Impersonation,Notation on transcript
56,Case 56,2000/01,Impersonation,Suspension
59,Case 59,2000/01,Impersonation,Expulsion
61,Case 61,2000/01,Unauthorized aid,Acquittal
63,Case 63 - APPEAL,2000/01,Plagiarism and/or purchased essay,Acquittal
362,Case 362,2005/06,Plagiarism and/or purchased essay,Expulsion
362,Case 362,2005/06,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
362,Case 362,2005/06,Plagiarism and/or purchased essay,Notation on transcript
362,Case 362,2005/06,Unauthorized aid,Expulsion
362,Case 362,2005/06,Unauthorized aid,Grade Assignment of 0 for course
362,Case 362,2005/06,Unauthorized aid,Notation on transcript
365,Case 365,2005/06,Unauthorized aid,Grade Assignment of 0 for course
365,Case 365,2005/06,Unauthorized aid,Notation on transcript
365,Case 365,2005/06,Unauthorized aid,Suspension
367,Case 367,2005/06,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
367,Case 367,2005/06,Creating false data and/or fabricating academic sources,Notation on transcript
367,Case 367,2005/06,Creating false data and/or fabricating academic sources,Suspension
367,Case 367,2005/06,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
367,Case 367,2005/06,Plagiarism and/or purchased essay,Notation on transcript
367,Case 367,2005/06,Plagiarism and/or purchased essay,Suspension
404,Case 404,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
404,Case 404,2008/09,Plagiarism and/or purchased essay,Notation on transcript
404,Case 404,2008/09,Plagiarism and/or purchased essay,Suspension
410,Case 410,2007/08,Plagiarism and/or purchased essay,Expulsion
410,Case 410,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
410,Case 410,2007/08,Plagiarism and/or purchased essay,Notation on transcript
410,Case 410,2007/08,Unauthorized aid,Expulsion
410,Case 410,2007/08,Unauthorized aid,Grade Assignment of 0 for course
410,Case 410,2007/08,Unauthorized aid,Notation on transcript
417,Case 417,2005/06,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
417,Case 417,2005/06,Plagiarism and/or purchased essay,Notation on transcript
417,Case 417,2005/06,Plagiarism and/or purchased essay,Suspension
428,Case 428,2006/07,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
428,Case 428,2006/07,Creating false data and/or fabricating academic sources,Notation on transcript
428,Case 428,2006/07,Creating false data and/or fabricating academic sources,Suspension
428,Case 428,2006/07,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
428,Case 428,2006/07,Plagiarism and/or purchased essay,Notation on transcript
428,Case 428,2006/07,Plagiarism and/or purchased essay,Suspension
451,CASE 451 - APPEAL,2007/08,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
451,CASE 451 - APPEAL,2007/08,Creating false data and/or fabricating academic sources,Notation on transcript
451,CASE 451 - APPEAL,2007/08,Creating false data and/or fabricating academic sources,Suspension
451,Case 451 - Appeal,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
451,CASE 451 - APPEAL,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
451,CASE 451 - APPEAL,2007/08,Plagiarism and/or purchased essay,Notation on transcript
451,CASE 451 - APPEAL,2007/08,Plagiarism and/or purchased essay,Suspension
456,Case 456,2007/08,Creating false data and/or fabricating academic sources,Degree suspension or recall
456,Case 456,2007/08,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
456,Case 456,2007/08,Creating false data and/or fabricating academic sources,Notation on transcript
462,Case 462,2005/06,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
462,Case 462,2005/06,Creating false data and/or fabricating academic sources,Notation on transcript
462,Case 462,2005/06,Creating false data and/or fabricating academic sources,Suspension
464,Case 464,2009/10,Plagiarism and/or purchased essay,Expulsion
464,Case 464,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
464,Case 464,2009/10,Plagiarism and/or purchased essay,Suspension
465,Case 465,2007/08,Impersonation,Grade Assignment of 0 for course
465,Case 465,2007/08,Impersonation,Notation on transcript
465,Case 465,2007/08,Impersonation,Suspension
465,Case 465,2007/08,Unauthorized aid,Grade Assignment of 0 for course
465,Case 465,2007/08,Unauthorized aid,Notation on transcript
465,Case 465,2007/08,Unauthorized aid,Suspension
466,Case 466,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
466,Case 466,2009/10,Plagiarism and/or purchased essay,Notation on transcript
466,Case 466,2009/10,Plagiarism and/or purchased essay,Suspension
479,Case 479,2008/09,Unauthorized aid,Expulsion
481,Case 481,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
481,Case 481,2007/08,Plagiarism and/or purchased essay,Notation on transcript
481,Case 481,2007/08,Plagiarism and/or purchased essay,Suspension
487,Case 487,2007/08,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
487,Case 487,2007/08,Creating false data and/or fabricating academic sources,Notation on transcript
487,Case 487,2007/08,Creating false data and/or fabricating academic sources,Suspension
487,Case 487,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
487,Case 487,2007/08,Plagiarism and/or purchased essay,Notation on transcript
487,Case 487,2007/08,Plagiarism and/or purchased essay,Suspension
488,Case 488,2007/08,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
488,Case 488,2007/08,Creating false data and/or fabricating academic sources,Notation on transcript
488,Case 488,2007/08,Creating false data and/or fabricating academic sources,Suspension
488,Case 488,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
488,Case 488,2007/08,Plagiarism and/or purchased essay,Notation on transcript
488,Case 488,2007/08,Plagiarism and/or purchased essay,Suspension
495,CASE 495,2010/11,Plagiarism and/or purchased essay,Expulsion
495,CASE 495,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
495,CASE 495,2010/11,Plagiarism and/or purchased essay,Suspension
495,Case 495,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
495,Case 495,2008/09,Plagiarism and/or purchased essay,Notation on transcript
495,Case 495,2008/09,Plagiarism and/or purchased essay,Suspension
497,Case 497 - Appeal . . . Case 497,2008/09,Academic Dishonesty Not Otherwise Described,Acquittal
497,Case 497 - Appeal . . . Case 497,2008/09,Unauthorized aid,Acquittal
498,CASE 498,2009/10,Forgery of Documents,Expulsion
498,CASE 498,2009/10,Forgery of Documents,Grade Assignment of 0 for course
498,CASE 498,2009/10,Forgery of Documents,Suspension
499,Case 499,2008/09,Unauthorized aid,Grade Assignment of 0 for course
499,Case 499,2008/09,Unauthorized aid,Notation on transcript
501,Case 501,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
501,Case 501,2009/10,Plagiarism and/or purchased essay,Notation on transcript
501,Case 501,2009/10,Plagiarism and/or purchased essay,Suspension
504,Case 504,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
504,Case 504,2008/09,Plagiarism and/or purchased essay,Notation on transcript
504,Case 504,2008/09,Plagiarism and/or purchased essay,Suspension
504,Case 504,2008/09,Unauthorized aid,Grade Assignment of 0 for course
504,Case 504,2008/09,Unauthorized aid,Notation on transcript
504,Case 504,2008/09,Unauthorized aid,Suspension
512,Case 512 � APPEAL,2006/07,Plagiarism and/or purchased essay,Acquittal
513,Case 513 - APPEAL,2006/07,Forgery of Documents,Grade Assignment of 0 for course
513,Case 513 - APPEAL,2006/07,Forgery of Documents,Suspension
515,Case 515,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
515,Case 515,2009/10,Plagiarism and/or purchased essay,Notation on transcript
515,Case 515,2009/10,Plagiarism and/or purchased essay,Suspension
516,Case 516,2008/09,Forgery of Documents,Expulsion
516,Case 516,2008/09,Forgery of Documents,Grade Assignment of 0 for course
516,Case 516,2008/09,Forgery of Documents,Notation on transcript
520,Case 520,2009/10,Academic Dishonesty Not Otherwise Described,Expulsion
520,Case 520,2009/10,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
520,Case 520,2009/10,Academic Dishonesty Not Otherwise Described,Notation on transcript
521,Case 521,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
521,Case 521,2008/09,Plagiarism and/or purchased essay,Notation on transcript
521,Case 521,2008/09,Plagiarism and/or purchased essay,Suspension
524,Case 524,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
524,Case 524,2008/09,Plagiarism and/or purchased essay,Notation on transcript
524,Case 524,2008/09,Plagiarism and/or purchased essay,Suspension
527,Case 527,2008/09,Unauthorized aid,Grade Assignment of 0 for course
527,Case 527,2008/09,Unauthorized aid,Notation on transcript
527,Case 527,2008/09,Unauthorized aid,Suspension
528,Case 528 - Motion Decision,2009/10,Forgery of Academic Records,Acquittal
528,Case 528 - SANCTION,2009/10,Forgery of Academic Records,Notation on transcript
528,Case 528 - SANCTION,2009/10,Forgery of Academic Records,Suspension
528,Case 528 - Motion Decision,2009/10,Forgery of Documents,Acquittal
528,Case 528 - SANCTION,2009/10,Forgery of Documents,Notation on transcript
528,Case 528 - SANCTION,2009/10,Forgery of Documents,Suspension
531,Case 531,2008/09,Impersonation,Grade Assignment of 0 for course
531,Case 531,2008/09,Impersonation,Notation on transcript
531,Case 531,2008/09,Impersonation,Suspension
531,Case 531,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
531,Case 531,2008/09,Plagiarism and/or purchased essay,Notation on transcript
531,Case 531,2008/09,Plagiarism and/or purchased essay,Suspension
533,Case 533,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
533,Case 533,2008/09,Plagiarism and/or purchased essay,Notation on transcript
533,Case 533,2008/09,Plagiarism and/or purchased essay,Suspension
534,CASE 534,2009/10,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
534,CASE 534,2009/10,Creating false data and/or fabricating academic sources,Notation on transcript
534,CASE 534,2009/10,Creating false data and/or fabricating academic sources,Suspension
534,CASE 534,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
534,CASE 534,2009/10,Plagiarism and/or purchased essay,Notation on transcript
534,CASE 534,2009/10,Plagiarism and/or purchased essay,Suspension
535,Case 535,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
535,Case 535,2009/10,Plagiarism and/or purchased essay,Notation on transcript
535,Case 535,2009/10,Plagiarism and/or purchased essay,Suspension
538,Case 538,2009/10,Academic Dishonesty Not Otherwise Described,Expulsion
538,Case 538,2009/10,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
538,Case 538,2009/10,Academic Dishonesty Not Otherwise Described,Suspension
538,Case 538,2009/10,Creating false data and/or fabricating academic sources,Expulsion
538,Case 538,2009/10,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
538,Case 538,2009/10,Creating false data and/or fabricating academic sources,Suspension
538,Case 538,2009/10,Forgery of Academic Records,Expulsion
538,Case 538,2009/10,Forgery of Academic Records,Grade Assignment of 0 for course
538,Case 538,2009/10,Forgery of Academic Records,Suspension
538,Case 538,2009/10,Forgery of Documents,Expulsion
538,Case 538,2009/10,Forgery of Documents,Grade Assignment of 0 for course
538,Case 538,2009/10,Forgery of Documents,Suspension
539,Case 539,2009/10,Plagiarism and/or purchased essay,Notation on transcript
539,Case 539,2009/10,Plagiarism and/or purchased essay,Suspension
539,Case 539,2009/10,Unauthorized aid,Notation on transcript
539,Case 539,2009/10,Unauthorized aid,Suspension
543,Case 543 - Appeal,2011/12,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
543,Case 543 - Appeal,2011/12,Academic Dishonesty Not Otherwise Described,Notation on transcript
543,Case 543 - Appeal,2011/12,Academic Dishonesty Not Otherwise Described,Suspension
543,Case 543 - Appeal,2011/12,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
543,Case 543 - Appeal,2011/12,Plagiarism and/or purchased essay,Notation on transcript
543,Case 543 - Appeal,2011/12,Plagiarism and/or purchased essay,Suspension
543,Case 543,2009/10,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
543,Case 543,2009/10,Academic Dishonesty Not Otherwise Described,Notation on transcript
543,Case 543,2009/10,Academic Dishonesty Not Otherwise Described,Suspension
543,Case 543,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
543,Case 543,2009/10,Plagiarism and/or purchased essay,Notation on transcript
543,Case 543,2009/10,Plagiarism and/or purchased essay,Suspension
544,Case 544,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
544,Case 544,2009/10,Plagiarism and/or purchased essay,Notation on transcript
544,Case 544,2009/10,Plagiarism and/or purchased essay,Suspension
546,CASE 546,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
546,CASE 546,2009/10,Plagiarism and/or purchased essay,Notation on transcript
546,CASE 546,2009/10,Plagiarism and/or purchased essay,Suspension
547,Case 547,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
547,Case 547,2009/10,Plagiarism and/or purchased essay,Notation on transcript
547,Case 547,2009/10,Plagiarism and/or purchased essay,Suspension
551,CASE 551,2008/09,Plagiarism and/or purchased essay,Denial of Privileges
551,CASE 551,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
551,CASE 551,2008/09,Plagiarism and/or purchased essay,Suspension
554,Case 554,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
554,Case 554,2009/10,Plagiarism and/or purchased essay,Notation on transcript
554,Case 554,2009/10,Plagiarism and/or purchased essay,Suspension
557,Case 557,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
557,Case 557,2009/10,Plagiarism and/or purchased essay,Notation on transcript
557,Case 557,2009/10,Plagiarism and/or purchased essay,Suspension
558,Case 558,2009/10,Providing Unauthorized Assistance,Grade Assignment of 0 for course
558,Case 558,2009/10,Providing Unauthorized Assistance,Notation on transcript
558,Case 558,2009/10,Providing Unauthorized Assistance,Suspension
558,Case 558,2009/10,Unauthorized aid,Grade Assignment of 0 for course
558,Case 558,2009/10,Unauthorized aid,Notation on transcript
558,Case 558,2009/10,Unauthorized aid,Suspension
559,Case 559,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
559,Case 559,2009/10,Plagiarism and/or purchased essay,Notation on transcript
559,Case 559,2009/10,Plagiarism and/or purchased essay,Suspension
566,Case 566,2009/10,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
566,Case 566,2009/10,Academic Dishonesty Not Otherwise Described,Notation on transcript
566,Case 566,2009/10,Academic Dishonesty Not Otherwise Described,Suspension
567,Case 567,2009/10,Providing Unauthorized Assistance,Expulsion
567,Case 567,2009/10,Providing Unauthorized Assistance,Notation on transcript
567,Case 567,2009/10,Providing Unauthorized Assistance,Suspension
568,Case 568,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
568,Case 568,2009/10,Plagiarism and/or purchased essay,Notation on transcript
568,Case 568,2009/10,Plagiarism and/or purchased essay,Suspension
570,Case 570,2009/10,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
570,Case 570,2009/10,Creating false data and/or fabricating academic sources,Notation on transcript
570,Case 570,2009/10,Creating false data and/or fabricating academic sources,Suspension
570,Case 570,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
570,Case 570,2009/10,Plagiarism and/or purchased essay,Notation on transcript
570,Case 570,2009/10,Plagiarism and/or purchased essay,Suspension
571,Case 571,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
571,Case 571,2009/10,Plagiarism and/or purchased essay,Notation on transcript
571,Case 571,2009/10,Plagiarism and/or purchased essay,Suspension
573,CASE 573,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
573,CASE 573,2009/10,Plagiarism and/or purchased essay,Notation on transcript
573,CASE 573,2009/10,Plagiarism and/or purchased essay,Suspension
574,CASE 574,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
574,CASE 574,2010/11,Plagiarism and/or purchased essay,Notation on transcript
574,CASE 574,2010/11,Plagiarism and/or purchased essay,Suspension
576,CASE 576,2010/11,Forgery of Academic Records,Expulsion
576,CASE 576,2010/11,Forgery of Academic Records,Grade Assignment of 0 for course
576,CASE 576,2010/11,Forgery of Academic Records,Suspension
576,CASE 576,2010/11,Forgery of Documents,Expulsion
576,CASE 576,2010/11,Forgery of Documents,Grade Assignment of 0 for course
576,CASE 576,2010/11,Forgery of Documents,Suspension
577,CASE 577,2010/11,Unauthorized aid,Notation on transcript
577,CASE 577,2010/11,Unauthorized aid,Suspension
578,CASE 578 (with CASE 583),2010/11,Forgery of Documents,Expulsion
578,CASE 578 (with CASE 583),2010/11,Forgery of Documents,Expulsion
578,CASE 578 (with CASE 583),2010/11,Forgery of Documents,Grade Assignment of 0 for course
578,CASE 578 (with CASE 583),2010/11,Forgery of Documents,Grade Assignment of 0 for course
578,CASE 578 (with CASE 583),2010/11,Forgery of Documents,Suspension
578,CASE 578 (with CASE 583),2010/11,Impersonation,Expulsion
578,CASE 578 (with CASE 583),2010/11,Impersonation,Expulsion
578,CASE 578 (with CASE 583),2010/11,Impersonation,Grade Assignment of 0 for course
578,CASE 578 (with CASE 583),2010/11,Impersonation,Grade Assignment of 0 for course
578,CASE 578 (with CASE 583),2010/11,Impersonation,Suspension
578,CASE 578 (with CASE 583),2010/11,Plagiarism and/or purchased essay,Expulsion
578,CASE 578 (with CASE 583),2010/11,Plagiarism and/or purchased essay,Expulsion
578,CASE 578 (with CASE 583),2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
578,CASE 578 (with CASE 583),2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
578,CASE 578 (with CASE 583),2010/11,Plagiarism and/or purchased essay,Suspension
578,CASE 578 (with CASE 583),2010/11,Providing Unauthorized Assistance,Expulsion
578,CASE 578 (with CASE 583),2010/11,Providing Unauthorized Assistance,Grade Assignment of 0 for course
578,CASE 578 (with CASE 583),2010/11,Providing Unauthorized Assistance,Suspension
578,CASE 578 (with CASE 583),2010/11,Unauthorized aid,Expulsion
578,CASE 578 (with CASE 583),2010/11,Unauthorized aid,Grade Assignment of 0 for course
578,CASE 578 (with CASE 583),2010/11,Unauthorized aid,Suspension
579,CASE 579,2010/11,Unauthorized aid,Grade Assignment of 0 for course
579,CASE 579,2010/11,Unauthorized aid,Notation on transcript
579,CASE 579,2010/11,Unauthorized aid,Suspension
580,CASE 580,2010/11,Forgery of Academic Records,Expulsion
580,CASE 580,2010/11,Forgery of Academic Records,Suspension
583,CASE 583 (with CASE 578),2010/11,Forgery of Documents,Expulsion
583,CASE 583 (with CASE 578),2010/11,Forgery of Documents,Expulsion
583,CASE 583 (with CASE 578),2010/11,Forgery of Documents,Grade Assignment of 0 for course
583,CASE 583 (with CASE 578),2010/11,Forgery of Documents,Grade Assignment of 0 for course
583,CASE 583 (with CASE 578),2010/11,Forgery of Documents,Suspension
583,CASE 583 (with CASE 578),2010/11,Impersonation,Expulsion
583,CASE 583 (with CASE 578),2010/11,Impersonation,Expulsion
583,CASE 583 (with CASE 578),2010/11,Impersonation,Grade Assignment of 0 for course
583,CASE 583 (with CASE 578),2010/11,Impersonation,Grade Assignment of 0 for course
583,CASE 583 (with CASE 578),2010/11,Impersonation,Suspension
583,CASE 583 (with CASE 578),2010/11,Plagiarism and/or purchased essay,Expulsion
583,CASE 583 (with CASE 578),2010/11,Plagiarism and/or purchased essay,Expulsion
583,CASE 583 (with CASE 578),2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
583,CASE 583 (with CASE 578),2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
583,CASE 583 (with CASE 578),2010/11,Plagiarism and/or purchased essay,Suspension
583,CASE 583 (with CASE 578),2010/11,Providing Unauthorized Assistance,Expulsion
583,CASE 583 (with CASE 578),2010/11,Providing Unauthorized Assistance,Grade Assignment of 0 for course
583,CASE 583 (with CASE 578),2010/11,Providing Unauthorized Assistance,Suspension
583,CASE 583 (with CASE 578),2010/11,Unauthorized aid,Expulsion
583,CASE 583 (with CASE 578),2010/11,Unauthorized aid,Grade Assignment of 0 for course
583,CASE 583 (with CASE 578),2010/11,Unauthorized aid,Suspension
585,CASE 585,2010/11,Academic Dishonesty Not Otherwise Described,Expulsion
585,CASE 585,2010/11,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
585,CASE 585,2010/11,Academic Dishonesty Not Otherwise Described,Notation on transcript
585,CASE 585,2010/11,Academic Dishonesty Not Otherwise Described,Suspension
585,CASE 585,2010/11,Impersonation,Expulsion
585,CASE 585,2010/11,Impersonation,Grade Assignment of 0 for course
585,CASE 585,2010/11,Impersonation,Notation on transcript
585,CASE 585,2010/11,Impersonation,Suspension
586,CASE 586,2010/11,Academic Dishonesty Not Otherwise Described,Expulsion
586,CASE 586,2010/11,Academic Dishonesty Not Otherwise Described,Suspension
587,CASE 587,2009/10,Creating false data and/or fabricating academic sources,Expulsion
587,CASE 587,2009/10,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
587,CASE 587,2009/10,Creating false data and/or fabricating academic sources,Suspension
587,CASE 587,2009/10,Plagiarism and/or purchased essay,Expulsion
587,CASE 587,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
587,CASE 587,2009/10,Plagiarism and/or purchased essay,Suspension
588,CASES 588,2011/12,Creating false data and/or fabricating academic sources,Degree suspension or recall
590,CASES 590,2010/11,Forgery of Academic Records,Expulsion
590,CASES 590,2010/11,Forgery of Academic Records,Suspension
591,Case 591,2010/11,Plagiarism and/or purchased essay,Notation on transcript
591,Case 591,2010/11,Plagiarism and/or purchased essay,Suspension
592,CASE 592,2010/11,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
592,CASE 592,2010/11,Creating false data and/or fabricating academic sources,Notation on transcript
592,CASE 592,2010/11,Creating false data and/or fabricating academic sources,Suspension
592,CASE 592,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
592,CASE 592,2010/11,Plagiarism and/or purchased essay,Notation on transcript
592,CASE 592,2010/11,Plagiarism and/or purchased essay,Suspension
593,CASE 593,2010/11,Creating false data and/or fabricating academic sources,Expulsion
593,CASE 593,2010/11,Creating false data and/or fabricating academic sources,Suspension
593,CASE 593,2010/11,Forgery of Academic Records,Expulsion
593,CASE 593,2010/11,Forgery of Academic Records,Suspension
594,CASE 594,2009/10,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
594,CASE 594,2009/10,Creating false data and/or fabricating academic sources,Notation on transcript
594,CASE 594,2009/10,Creating false data and/or fabricating academic sources,Suspension
594,CASE 594,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
594,CASE 594,2009/10,Plagiarism and/or purchased essay,Notation on transcript
594,CASE 594,2009/10,Plagiarism and/or purchased essay,Suspension
595,CASE 595,2010/11,Unauthorized aid,Grade Assignment of 0 for course
595,CASE 595,2010/11,Unauthorized aid,Notation on transcript
595,CASE 595,2010/11,Unauthorized aid,Suspension
599,CASE 599,2009/10,Unauthorized aid,Grade Assignment of 0 for course
599,CASE 599,2009/10,Unauthorized aid,Notation on transcript
599,CASE 599,2009/10,Unauthorized aid,Suspension
600,CASE 600,2010/11,Forgery of Academic Records,Grade Assignment of 0 for course
600,CASE 600,2010/11,Forgery of Academic Records,Notation on transcript
600,CASE 600,2010/11,Forgery of Academic Records,Suspension
600,CASE 600,2010/11,Forgery of Documents,Grade Assignment of 0 for course
600,CASE 600,2010/11,Forgery of Documents,Notation on transcript
600,CASE 600,2010/11,Forgery of Documents,Suspension
601,CASE 601,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
601,CASE 601,2010/11,Plagiarism and/or purchased essay,Notation on transcript
601,CASE 601,2010/11,Plagiarism and/or purchased essay,Suspension
601,CASE 601,2010/11,Unauthorized aid,Grade Assignment of 0 for course
601,CASE 601,2010/11,Unauthorized aid,Notation on transcript
601,CASE 601,2010/11,Unauthorized aid,Suspension
602,CASE 602,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
602,CASE 602,2010/11,Plagiarism and/or purchased essay,Notation on transcript
602,CASE 602,2010/11,Plagiarism and/or purchased essay,Suspension
606,CASE 606 - APPEAL,2011/12,Forgery of Academic Records,Expulsion
606,CASE 606 - ON APPEAL,2011/12,Forgery of Academic Records,Notation on transcript
606,CASE 606 - ON APPEAL,2011/12,Forgery of Academic Records,Suspension
607,CASE 607,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
607,CASE 607 - CHARGES,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
607,CASE 607 - SANCTION,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
607,CASE 607 - SANCTION,2010/11,Plagiarism and/or purchased essay,Notation on transcript
607,CASE 607 - SANCTION,2010/11,Plagiarism and/or purchased essay,Suspension
607,CASE 607,2010/11,Unauthorized aid,Grade Assignment of 0 for course
607,CASE 607 - CHARGES,2010/11,Unauthorized aid,Grade Assignment of 0 for course
607,CASE 607 - SANCTION,2010/11,Unauthorized aid,Grade Assignment of 0 for course
607,CASE 607 - SANCTION,2010/11,Unauthorized aid,Notation on transcript
607,CASE 607 - SANCTION,2010/11,Unauthorized aid,Suspension
609,CASE 609,2011/12,Impersonation,Expulsion
609,CASE 609,2011/12,Impersonation,Grade Assignment of 0 for course
609,CASE 609,2011/12,Impersonation,Notation on transcript
609,CASE 609,2011/12,Impersonation,Suspension
609,CASE 609,2011/12,Unauthorized aid,Expulsion
609,CASE 609,2011/12,Unauthorized aid,Grade Assignment of 0 for course
609,CASE 609,2011/12,Unauthorized aid,Notation on transcript
609,CASE 609,2011/12,Unauthorized aid,Suspension
613,CASE 613,2010/11,Forgery of Academic Records,Expulsion
613,CASE 613,2010/11,Forgery of Academic Records,Grade Assignment of 0 for course
613,CASE 613,2010/11,Forgery of Academic Records,Suspension
614,CASE 614,2010/11,Plagiarism and/or purchased essay,Expulsion
614,CASE 614,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
614,CASE 614,2010/11,Plagiarism and/or purchased essay,Suspension
615,CASE 615,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
615,CASE 615,2010/11,Plagiarism and/or purchased essay,Notation on transcript
615,CASE 615,2010/11,Plagiarism and/or purchased essay,Suspension
617,CASE 617,2011/12,Impersonation,Expulsion
617,CASE 617,2011/12,Impersonation,Grade Assignment of 0 for course
617,CASE 617,2011/12,Impersonation,Suspension
623,Case 623,2011/12,Forgery of Documents,Grade Assignment of 0 for course
623,Case 623,2011/12,Forgery of Documents,Notation on transcript
623,Case 623,2011/12,Forgery of Documents,Suspension
623,Case 623,2011/12,Impersonation,Grade Assignment of 0 for course
623,Case 623,2011/12,Impersonation,Notation on transcript
623,Case 623,2011/12,Impersonation,Suspension
625,CASE 625,2012/13,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
625,CASE 625,2012/13,Academic Dishonesty Not Otherwise Described,Notation on transcript
625,CASE 625,2012/13,Academic Dishonesty Not Otherwise Described,Suspension
625,CASE 625,2012/13,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
625,CASE 625,2012/13,Creating false data and/or fabricating academic sources,Notation on transcript
625,CASE 625,2012/13,Creating false data and/or fabricating academic sources,Suspension
